id,original_language,title,popularity,release_date,vote_average,vote_count,weighted_rating
652837,JA,"Josee, the Tiger and the Fish",27.057,2020-12-25,8.3,450,3735.0000000000005
670,KO,Oldboy,57.716,2003-11-21,8.255,8500,70167.5
299534,EN,Avengers: Endgame,166.696,2019-04-24,8.252,25320,208940.64
42269,IT,We All Loved Each Other So Much,13.728,1974-12-21,8.25,534,4405.5
299536,EN,Avengers: Infinity War,305.517,2018-04-25,8.247,29386,242346.342
490132,EN,Green Book,56.566,2018-11-16,8.24,11411,94026.64
508965,EN,Klaus,29.419,2019-11-08,8.238,3944,32490.672
265177,FR,Mommy,20.864,2014-09-19,8.2,2678,21959.6
572154,JA,Rascal Does Not Dream of a Dreaming Girl,28.028,2019-06-15,8.235,518,4265.73
618344,EN,Justice League Dark: Apokolips War,40.951,2020-05-05,8.23,1438,11834.74
504253,JA,I Want to Eat Your Pancreas,45.14,2018-09-01,8.228,1516,12473.648
110420,JA,Wolf Children,36.907,2012-07-21,8.228,2243,18455.404
315162,EN,Puss in Boots: The Last Wish,165.19,2022-12-07,8.226,7560,62188.560000000005
441130,EN,Wolfwalkers,31.044,2020-10-26,8.221,1155,9495.255
290098,KO,The Handmaiden,65.547,2016-06-01,8.22,3661,30093.420000000002
635302,JA,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,98.007,2020-10-16,8.218,3869,31795.442
16869,EN,Inglourious Basterds,86.288,2009-08-02,8.218,21983,180656.294
857,EN,Saving Private Ryan,75.45,1998-07-24,8.218,15620,128365.16
98,EN,Gladiator,85.032,2000-05-04,8.218,18201,149575.818
24188,IT,Il Sorpasso,13.696,1962-12-05,8.217,725,5957.325000000001
603,EN,The Matrix,107.008,1999-03-31,8.217,25374,208498.15800000002
694,EN,The Shining,69.03,1980-05-23,8.214,17213,141387.582
354912,EN,Coco,140.727,2017-10-27,8.212,19127,157070.924
50014,EN,The Help,73.835,2011-08-09,8.211,8136,66804.696
361743,EN,Top Gun: Maverick,138.76,2022-05-21,8.2,8983,73660.59999999999
37257,EN,Witness for the Prosecution,24.453,1957-12-17,8.2,1363,11176.599999999999
284,EN,The Apartment,31.192,1960-06-21,8.2,2239,18359.8
1124,EN,The Prestige,65.8,2006-10-17,8.204,15798,129606.79200000002
522924,EN,The Art of Racing in the Rain,30.582,2019-08-08,8.2,1450,11889.999999999998
11324,EN,Shutter Island,78.494,2010-02-14,8.203,23679,194238.837
11,EN,Star Wars,98.908,1977-05-25,8.204,20371,167123.684
654299,ES,Out of the Clear Blue Sky,11.5,2019-12-24,8.202,341,2796.882
324786,EN,Hacksaw Ridge,113.291,2016-10-07,8.198,13528,110902.54400000001
185,EN,A Clockwork Orange,55.925,1971-12-19,8.198,12675,103909.65000000001
610892,JA,Violet Evergarden: Eternity and the Auto Memory Doll,23.704,2019-09-06,8.197,360,2950.9199999999996
556574,EN,Hamilton,23.575,2020-07-03,8.2,1378,11299.599999999999
16672,JA,Woman in the Dunes,25.391,1964-02-15,8.197,429,3516.5129999999995
5156,IT,Bicycle Thieves,20.742,1948-07-21,8.193,2344,19204.392
476292,JA,Maquia: When the Promised Flower Blooms,33.924,2018-02-24,8.192,621,5087.232
490,SV,The Seventh Seal,23.304,1957-02-16,8.191,2916,23884.956000000002
313106,EN,Doctor Who: The Day of the Doctor,18.899,2013-11-23,8.189,742,6076.238
629,EN,The Usual Suspects,44.975,1995-07-19,8.185,10218,83634.33
797,SV,Persona,24.009,1966-10-18,8.183,2089,17094.287
620683,PT,My Mom Is a Character 3,14.151,2019-12-26,8.181,469,3836.8889999999997
68718,EN,Django Unchained,70.203,2012-12-25,8.181,25932,212149.69199999998
77,EN,Memento,40.655,2000-10-11,8.181,14661,119941.64099999999
20334,EN,The Shop Around the Corner,18.751,1940-01-12,8.18,701,5734.179999999999
10098,EN,The Kid,23.193,1921-01-21,8.18,2051,16777.18
592350,JA,My Hero Academia: Heroes Rising,38.112,2019-12-20,8.178,1137,9298.386
26451,IT,Investigation of a Citizen Above Suspicion,14.274,1970-10-16,8.178,757,6190.746000000001
92060,EN,Michael Jackson's Thriller,17.016,1983-11-14,8.177,663,5421.351
537061,EN,Steven Universe: The Movie,24.076,2019-10-07,8.176,771,6303.696
20941,ES,Innocent Voices,18.698,2005-01-28,8.174,465,3800.91
18148,JA,Tokyo Story,24.716,1953-11-03,8.171,1023,8358.932999999999
810693,JA,Jujutsu Kaisen 0,80.801,2021-12-24,8.168,1357,11083.975999999999
426,EN,Vertigo,43.15,1958-05-28,8.2,5639,46239.799999999996
1026227,IT,There's Still Tomorrow,42.609,2023-10-26,8.167,1147,9367.548999999999
693134,EN,Dune: Part Two,300.94,2024-02-27,8.2,5166,42361.2
1422,EN,The Departed,69.002,2006-10-04,8.166,14669,119787.054
111,EN,Scarface,90.082,1983-12-09,8.167,11620,94900.54
81481,KO,Silenced,44.41,2011-09-22,8.161,609,4970.049
872,EN,Singin' in the Rain,44.464,1952-04-09,8.2,3076,25223.199999999997
851644,KO,20th Century Girl,100.835,2022-10-06,8.16,672,5483.52
289,EN,Casablanca,39.123,1943-01-15,8.16,5331,43500.96
475557,EN,Joker,142.56,2019-10-01,8.158,25094,204716.85199999998
489,EN,Good Will Hunting,85.264,1997-12-05,8.158,12153,99144.174
422,IT,8½,22.437,1963-02-14,8.2,2230,18286.0
517814,AR,Capernaum,30.992,2018-09-20,8.155,1656,13504.679999999998
606856,EN,Togo,21.821,2019-12-20,8.2,1971,16162.199999999999
348,EN,Alien,254.345,1979-05-25,8.154,14438,117727.452
399106,EN,Piper,15.412,2016-06-16,8.152,1599,13035.047999999999
1398,RU,Stalker,56.737,1979-05-25,8.152,2100,17119.199999999997
791373,EN,Zack Snyder's Justice League,95.352,2021-03-18,8.148,9854,80290.39199999999
575813,ZH,Better Days,33.3,2019-10-25,8.1,426,3450.6
103,EN,Taxi Driver,57.726,1976-02-09,8.146,12035,98037.11000000002
133919,SV,Scenes from a Marriage,19.269,1974-09-15,8.145,335,2728.575
